Date,Close,High,Low,Open,Volume,Target,Day,Day_Friday,Day_Monday,Day_Thursday,Day_Tuesday,Day_Wednesday,RSI,RSI_Scaled
2019-06-14,46.14631652832031,46.34982356084615,45.56212475815353,45.86140302948494,75046000,1,Friday,True,False,False,False,False,70.5790045487521,0.72112040336894
2019-06-17,46.4216423034668,46.67782620889428,46.009835187677666,46.1846126421805,58676400,1,Monday,False,True,False,False,False,73.13892587134458,0.7491282502088195
2019-06-18,47.51342010498047,47.95395686657399,46.73769312332653,46.93880725536278,106204000,0,Tuesday,False,False,False,True,False,78.03668902696053,0.8027141940852413
2019-06-19,47.37455749511719,47.855799348643046,47.240481398733735,47.80791189710642,84496800,1,Wednesday,False,False,False,False,True,78.62532687172742,0.8091544227183977
2019-06-20,47.75522994995117,48.03056445872031,47.41285375699523,47.9731017236882,86056000,0,Thursday,False,False,True,False,False,79.01809300441415,0.8134516382582258
2019-06-21,47.59242248535156,48.08802900374868,47.44158508352656,47.597211960109185,191202400,0,Friday,True,False,False,False,False,84.96030153728768,0.8784647560484246
2019-06-24,47.54454803466797,47.92283624223558,47.44638387600242,47.53496908327158,72881600,0,Monday,False,True,False,False,False,89.0849773346807,0.9235924273475364
2019-06-25,46.82387161254883,47.70733778640023,46.75682993500105,47.50861662405423,84281200,1,Tuesday,False,False,False,True,False,77.4561350031883,0.7963624097407045
2019-06-26,47.836639404296875,48.12155290184591,47.2500547257955,47.35061178611295,104270000,0,Wednesday,False,False,False,False,True,78.44439204656159,0.8071748326323582
2019-06-27,47.82227325439453,48.26041706742118,47.78157184924549,47.953952766753574,83598800,0,Thursday,False,False,True,False,False,76.19054461682781,0.7825157100822514
2019-06-28,47.38651657104492,47.764804685647896,47.17822009560668,47.56847641656464,124442400,1,Friday,True,False,False,False,False,65.78617866914243,0.6686825678848503
2019-07-01,48.25563049316406,48.95953359072476,48.04014794005199,48.64349397414677,109012000,1,Monday,False,True,False,False,False,67.37699068718297,0.6860874853559844
2019-07-02,48.538143157958984,48.633914390891135,48.210135361751455,48.22210722253035,67740800,1,Tuesday,False,False,False,True,False,65.99357279001924,0.6709516465169727
